l1,l2Code,l2Name,l3Code,l3Name,l4Code,l4Name,channels
,,,,,ord_act_self_12,월 납부 금액 확인 및 안내 사항 확인,"T월드, T다이렉트"
,,,,,ord_act_self_13,요금 납부 정보 입력,"T월드, T다이렉트"
,,,,,ord_act_self_14,약관 동의 및 주문 완료,"T월드, T다이렉트"
,,,,,ord_act_self_15,주문 내역 조회,"T월드, T다이렉트"
,,,ord_act_setup,USIM/eSIM 휴대폰 세팅 ,ord_act_setup_01,휴대폰 USIM·eSIM 설정,"T월드, T다이렉트"
,,,,,ord_act_setup_02,(eSIM) 다운로드 및 활성화,"T월드, T다이렉트"
,,,,,ord_act_setup_03,데이터 옮기기,"T월드, T다이렉트"
,ord_net,인터넷/B tv 주문 및 개통,ord_net_order,인터넷/B tv 가입,ord_net_order_01,인터넷&IPTV 가입,
,,,ord_net_set,인터넷/B tv 설치 및 개통,ord_net_set_01,인터넷&IPTV 설치 및 개통,
,ord_combo,결합 상품 가입,ord_combo_join,결합 상품 가입,ord_combo_join_01,결합상품 신청,T월드
,,,,,ord_combo_join_02,"결합 유형 선택(나 혼자 결합, 가족 결합)",T월드
,,,,,ord_combo_join_03,결합 상품 조회 및 회선 선택,T월드
,,,,,ord_combo_join_04,(가족 결합) 가족 회선 추가 및 가족 정보 입력,T월드
,,,,,ord_combo_join_05,(가족 결합) 결합신청 가족 동의,T월드
,,,,,ord_combo_join_06,예상 할인 금액 확인,T월드
,,,,,ord_combo_join_07,가족 관계 서류 제출,T월드
,,,,,ord_combo_join_08,약관 동의 및 완료,T월드
,ord_roam,로밍 서비스 가입,ord_roam_join,로밍 요금제 가입,ord_roam_join_01,로밍 서비스 가입,T월드
,,,,,ord_roam_join_02,"로밍 요금제 선택 (baro요금제, OnePass 등)",T월드
,,,,,ord_roam_join_03,"로밍 요금제 설정 (개시일, 종료일 설정)",T월드
,,,,,ord_roam_join_04,로밍 요금제 가입 완료,T월드
